Bird,Time,Indicator,Age
1,2,1,1
2,6,0,0
3,6,0,1
4,7,1,0
5,13,1,1
6,14,0,0
7,16,0,1
8,16,1,1
9,17,0,1
10,17,1,1
11,20,0,1
12,21,1,1
13,22,1,0
14,26,1,0
15,26,1,0
16,27,1,0
17,28,0,1
18,29,1,0
19,32,1,0
20,32,0,1
21,34,1,0
22,34,1,0
23,37,1,0
24,40,1,0
25,41,1,1
26,44,1,0
27,49,0,0
28,54,0,1
29,56,0,0
30,56,0,0
31,57,0,1
32,57,0,0
33,58,0,0
34,63,0,1
35,63,0,0
36,63,0,0
37,63,0,0
38,63,0,0
39,63,0,0
40,63,0,1
41,63,0,0
42,63,0,0
43,63,0,0
44,63,0,1
45,63,0,1
46,63,0,1
47,63,0,0
48,63,0,0
49,63,0,0
50,63,0,0
