Holes,Pervious,Rating
105,16,2
46,16,3
42,22,3
40,66,2
40,17,1
39,15,1
38,34,1
34,18,3
32,16,1
29,16,2
28,16,2
27,18,2
27,18,2
25,22,3
20,20,4
20,16,2
18,16,3
18,52,4
17,18,2
17,16,1
16,14,2
16,16,3
16,66,2
16,20,2
15,18,3
15,48,2
12,22,2
12,18,3
12,18,2
12,22,3
12,15,2
12,20,3
12,16,2
11,14,3
10,16,2
10,16,2
10,22,1
9,16,3
9,17,3
8,13,3
8,20,2
7,16,2
7,16,3
7,66,2
7,58,4
7,58,3
7,18,2
6,16,2
6,14,3
6,8,3
6,12,3
6,16,3
6,15,2
6,52,4
6,68,4
5,22,2
5,20,2
5,16,3
5,12,3
4,22,3
4,20,3
4,54,3
4,12,3
4,22,3
4,16,3
4,16,3
4,16,3
4,4,3
4,52,3
4,17,4
4,32,1
3,12,4
3,11,3
3,20,3
3,20,3
3,14,2
3,18,3
3,4,3
3,16,3
3,16,4
3,41,2
2,86,3
2,68,3
2,16,3
2,12,3
2,42,3
2,16,3
2,20,2
2,16,3
2,12,3
2,64,3
2,16,2
2,26,4
2,41,4
2,12,2
1,12,2
1,86,3
1,24,3
1,24,2
1,12,3
1,12,3
1,14,2
1,18,3
1,24,3
1,16,3
1,16,2
1,12,3
1,14,3
1,66,3
1,85,3
1,52,3
1,58,3
1,16,3
1,18,3
1,28,2
1,40,3
0,12,3
0,12,3
0,12,4
0,12,3
0,11,3
0,11,4
0,16,4
0,16,4
0,12,4
0,12,4
0,12,4
0,12,4
0,12,4
0,8,4
0,18,3
0,32,3
0,32,3
0,32,3
0,32,3
0,32,3
0,30,3
0,30,3
0,30,3
0,30,2
0,12,4
0,8,4
0,8,4
0,12,3
0,8,3
0,12,3
0,13,3
0,14,3
0,22,3
0,22,4
0,27,4
0,27,4
0,27,4
0,27,4
0,27,4
0,27,4
0,18,4
0,18,4
0,18,4
0,18,4
0,18,4
0,18,4
0,16,4
0,18,4
0,18,4
0,18,4
0,18,3
0,20,4
0,18,4
0,18,4
0,18,4
0,18,4
0,18,4
0,12,3
0,12,3
0,12,3
0,48,3
0,22,3
0,41,4
0,17,4
0,17,4
0,17,4
0,17,4
0,15,4
0,15,4
0,17,2
0,15,3
0,15,3
0,48,3
0,30,4
0,35,4
0,28,3
0,19,3
0,12,3
0,16,3
0,12,3
0,34,4
0,34,4
0,20,4
